team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Vancouver Canucks,2005-10-05,2,3,2,0.0,75.0,30.0,32.0,49.2,Phoenix Coyotes,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-08,1,3,3,25.0,71.4,31.0,34.0,39.7,Edmonton Oilers,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-10,2,4,2,0.0,100.0,29.0,30.0,53.7,Detroit Red Wings,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-12,0,0,6,0.0,40.0,33.0,28.0,35.9,Minnesota Wild,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-14,2,5,3,16.7,33.3,41.0,13.0,41.7,Minnesota Wild,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-16,2,5,2,30.0,100.0,35.0,20.0,50.8,Dallas Stars,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-18,2,6,2,30.0,60.0,25.0,26.0,47.7,Chicago Blackhawks,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-20,2,3,2,20.0,100.0,38.0,24.0,48.4,Phoenix Coyotes,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-22,2,6,4,22.2,83.3,23.0,32.0,48.3,Colorado Avalanche,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-25,2,3,1,12.5,85.7,36.0,28.0,44.6,Minnesota Wild,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-27,0,2,6,0.0,62.5,42.0,30.0,48.2,Colorado Avalanche,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-10-29,1,3,4,0.0,87.5,25.0,32.0,50.8,Colorado Avalanche,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-02,2,2,1,25.0,100.0,30.0,32.0,57.4,Minnesota Wild,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-04,2,5,3,33.3,83.3,26.0,24.0,50.8,Columbus Blue Jackets,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-05,0,0,1,0.0,100.0,23.0,27.0,52.0,Calgary Flames,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-07,0,3,4,33.3,75.0,21.0,28.0,51.7,Calgary Flames,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-10,0,3,5,14.3,100.0,28.0,30.0,52.5,Colorado Avalanche,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-13,2,4,1,12.5,83.3,26.0,35.0,48.1,Detroit Red Wings,vs,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-16,2,3,1,50.0,100.0,24.0,26.0,45.0,San Jose Sharks,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-17,0,4,5,20.0,57.1,36.0,38.0,40.3,Los Angeles Kings,@,,,,,,,,,,,,,,,
Vancouver Canucks,2005-11-20,2,3,2,10.0,80.0,29.0,33.0,41.7,Anaheim Ducks,@,1.3,,,3.35,,2.9,,17.240000000000002,79.87,30.1,28.45,47.839999999999996,58.0,569.0,0.8980667838312829
Vancouver Canucks,2005-11-22,2,3,1,25.0,100.0,22.0,33.0,42.6,Chicago Blackhawks,vs,1.3,,,3.35,,2.9,,17.740000000000002,80.12,30.05,28.5,47.464999999999996,58.0,570.0,0.8982456140350877
Vancouver Canucks,2005-11-24,2,3,2,0.0,80.0,20.0,22.0,51.9,San Jose Sharks,vs,1.35,,,3.35,,2.8,,17.740000000000002,81.55,29.6,28.45,47.61,56.0,569.0,0.9015817223198594
Vancouver Canucks,2005-11-26,0,1,2,0.0,88.9,35.0,24.0,44.0,Phoenix Coyotes,@,1.35,,,3.3,,2.8,,17.740000000000002,80.55,29.15,28.05,47.519999999999996,56.0,561.0,0.9001782531194296
Vancouver Canucks,2005-11-27,0,2,6,20.0,87.5,40.0,36.0,52.5,Colorado Avalanche,@,1.35,,,3.35,,2.6,,17.740000000000002,82.99499999999999,29.25,27.85,47.925,52.0,557.0,0.9066427289048474
Vancouver Canucks,2005-11-30,2,5,2,12.5,100.0,44.0,32.0,46.6,Colorado Avalanche,vs,1.25,,,3.2,,2.75,,17.905,85.705,29.2,29.0,48.464999999999996,55.0,580.0,0.9051724137931034
Vancouver Canucks,2005-12-01,0,3,5,50.0,100.0,26.0,28.0,38.9,Edmonton Oilers,@,1.25,,,3.2,,2.75,,17.03,85.705,29.65,29.6,48.255,55.0,592.0,0.9070945945945946
Vancouver Canucks,2005-12-04,2,5,2,25.0,85.7,39.0,27.0,49.3,Boston Bruins,vs,1.15,,,3.05,,2.9,,18.03,87.705,29.7,29.7,47.815,58.0,594.0,0.9023569023569024
Vancouver Canucks,2005-12-09,2,2,2,7.7,100.0,38.0,23.0,47.1,Ottawa Senators,vs,1.15,,,3.15,,2.9,,18.28,86.99,29.75,29.85,47.86,58.0,597.0,0.9028475711892797
Vancouver Canucks,2005-12-13,2,3,2,0.0,80.0,31.0,36.0,52.5,New York Rangers,@,1.15,,,2.95,,2.8,,17.555,87.825,30.5,29.4,47.8,56.0,588.0,0.9047619047619048
Vancouver Canucks,2005-12-15,2,5,4,50.0,80.0,26.0,43.0,57.8,Philadelphia Flyers,@,1.15,,,2.95,,2.85,,16.93,87.53999999999999,30.25,29.8,48.195,57.0,596.0,0.9043624161073825
Vancouver Canucks,2005-12-17,1,4,5,0.0,70.0,22.0,37.0,40.6,Edmonton Oilers,vs,1.25,,,3.1,,2.75,,19.43,88.41499999999999,29.45,30.45,48.675,55.0,609.0,0.909688013136289
Vancouver Canucks,2005-12-19,1,3,3,12.5,83.3,25.0,27.0,60.0,Los Angeles Kings,vs,1.25,,,3.15,,2.8,,19.43,87.53999999999999,29.3,30.7,48.165,56.0,614.0,0.9087947882736156
Vancouver Canucks,2005-12-21,0,6,7,55.6,66.7,24.0,37.0,42.7,Edmonton Oilers,vs,1.2,,,3.2,,2.9,,18.805,86.705,29.05,30.45,48.295,58.0,609.0,0.9047619047619048
Vancouver Canucks,2005-12-23,1,5,5,30.0,83.3,37.0,37.0,48.0,Calgary Flames,vs,1.1,,,3.25,,3.1,,19.92,85.875,28.95,31.1,47.89,62.0,622.0,0.9003215434083601
Vancouver Canucks,2005-12-26,0,1,2,0.0,75.0,17.0,23.0,44.3,Calgary Flames,vs,1.15,,,3.5,,3.3,,21.42,85.03999999999999,29.65,31.6,47.69,66.0,632.0,0.8955696202531646
Vancouver Canucks,2005-12-28,2,4,3,14.3,85.7,32.0,35.0,46.5,Nashville Predators,vs,1.15,,,3.4,,3.2,,19.755000000000003,85.03999999999999,29.45,31.35,47.32,64.0,627.0,0.89792663476874
Vancouver Canucks,2005-12-31,0,3,4,40.0,71.4,29.0,37.0,43.9,Minnesota Wild,@,1.25,,,3.45,,3.1,,19.755,84.325,29.65,31.6,47.019999999999996,62.0,632.0,0.9018987341772152
Vancouver Canucks,2006-01-02,0,1,4,16.7,80.0,31.0,26.0,48.3,St. Louis Blues,@,1.15,,,3.4,,3.25,,21.130000000000003,83.73,29.8,31.7,46.81,65.0,634.0,0.8974763406940063
Vancouver Canucks,2006-01-04,0,1,3,33.3,100.0,21.0,37.0,46.7,Dallas Stars,@,1.05,,,3.3,,3.4,,19.465,82.73,30.15,31.7,46.975,68.0,634.0,0.8927444794952681
Vancouver Canucks,2006-01-05,2,3,2,0.0,100.0,17.0,28.0,55.4,Chicago Blackhawks,@,1.05,1.175,,3.15,3.25,3.3,3.1,20.130000000000003,84.875,29.4,31.65,47.295,66.0,633.0,0.8957345971563981
Vancouver Canucks,2006-01-07,2,4,3,40.0,71.4,36.0,30.0,52.1,Calgary Flames,vs,1.05,1.175,,3.15,3.25,3.3,3.1,19.630000000000003,85.875,28.8,31.4,47.980000000000004,66.0,628.0,0.8949044585987261
Vancouver Canucks,2006-01-10,2,4,3,14.3,85.7,19.0,38.0,49.2,Toronto Maple Leafs,vs,1.05,1.2,,3.2,3.275,3.4,3.1,20.380000000000003,84.445,29.5,31.25,48.455,68.0,625.0,0.8912
Vancouver Canucks,2006-01-13,0,0,3,0.0,40.0,26.0,26.0,54.7,New Jersey Devils,@,1.05,1.2,,3.25,3.275,3.45,3.125,21.095,84.72999999999999,29.45,32.05,48.32,69.0,641.0,0.8923556942277691
Vancouver Canucks,2006-01-14,2,8,1,33.3,80.0,31.0,37.0,42.4,New York Islanders,@,1.05,1.2,,3.2,3.275,3.5,3.05,21.095,82.285,29.0,32.15,48.855000000000004,70.0,643.0,0.8911353032659409
Vancouver Canucks,2006-01-16,2,4,2,33.3,87.5,25.0,25.0,50.9,Pittsburgh Penguins,@,1.15,1.2,,3.5,3.35,3.25,3.0,21.759999999999998,81.91,28.55,32.2,48.35,65.0,644.0,0.8990683229813664
Vancouver Canucks,2006-01-19,2,4,1,16.7,85.7,27.0,25.0,59.7,Buffalo Sabres,vs,1.15,1.2,,3.45,3.325,3.25,3.0,22.8,81.285,27.6,31.85,48.565,65.0,637.0,0.8979591836734694
Vancouver Canucks,2006-01-21,2,6,2,28.6,100.0,28.0,26.0,51.1,Montréal Canadiens,vs,1.25,1.2,,3.5,3.275,3.05,2.975,21.134999999999998,80.57000000000001,27.65,31.7,49.605000000000004,61.0,634.0,0.9037854889589906
Vancouver Canucks,2006-01-23,0,0,4,0.0,85.7,34.0,23.0,54.4,St. Louis Blues,@,1.25,1.2,,3.55,3.35,3.05,2.975,21.315,81.285,27.1,31.65,49.69500000000001,61.0,633.0,0.9036334913112164
Vancouver Canucks,2006-01-24,0,5,6,33.3,55.6,33.0,43.0,51.5,Columbus Blue Jackets,@,1.15,1.15,,3.45,3.2,3.15,2.975,20.93,80.57000000000001,26.9,31.65,50.06,63.0,633.0,0.9004739336492891
Vancouver Canucks,2006-01-26,0,1,2,0.0,66.7,15.0,35.0,36.2,Detroit Red Wings,@,1.05,1.1,,3.55,3.25,3.35,3.1,22.595,79.35,27.0,32.0,50.010000000000005,67.0,640.0,0.8953125
Vancouver Canucks,2006-01-28,2,3,3,0.0,85.7,31.0,43.0,54.1,Colorado Avalanche,@,0.95,1.1,,3.35,3.225,3.25,3.0,20.095,78.685,26.45,31.6,48.92999999999999,65.0,632.0,0.8971518987341772
Vancouver Canucks,2006-01-31,2,7,4,14.3,77.8,26.0,46.0,49.4,Phoenix Coyotes,@,1.0,1.125,,3.3,3.225,3.15,2.975,20.095,79.47,26.9,31.9,49.605000000000004,63.0,638.0,0.9012539184952978
Vancouver Canucks,2006-02-03,2,3,1,16.7,80.0,22.0,29.0,37.9,Calgary Flames,@,1.05,1.125,,3.5,3.35,3.2,3.05,20.185,79.19500000000001,26.95,32.85,49.075,64.0,657.0,0.9025875190258752
Vancouver Canucks,2006-02-04,0,1,3,0.0,77.8,17.0,40.0,27.6,Edmonton Oilers,@,1.15,1.125,,3.35,3.3,2.9,3.0,18.24,79.86,26.85,32.45,48.835,58.0,649.0,0.9106317411402157
Vancouver Canucks,2006-02-06,2,7,4,45.5,77.8,38.0,33.0,39.2,Columbus Blue Jackets,vs,1.1,1.125,,3.15,3.325,2.8,3.05,16.74,79.58500000000001,25.85,32.6,47.815,56.0,652.0,0.9141104294478528
Vancouver Canucks,2006-02-08,0,2,4,14.3,85.7,33.0,24.0,45.0,St. Louis Blues,vs,1.2,1.175,,3.45,3.425,2.9,3.05,19.014999999999997,79.725,26.9,33.1,47.56,58.0,662.0,0.9123867069486404
Vancouver Canucks,2006-02-10,0,1,3,0.0,75.0,28.0,30.0,40.7,Anaheim Ducks,vs,1.1,1.175,,3.35,3.4,2.95,3.025,19.015,79.725,26.95,32.55,47.485,59.0,651.0,0.9093701996927803
Vancouver Canucks,2006-02-12,2,3,2,0.0,100.0,30.0,16.0,50.0,Minnesota Wild,vs,1.1,1.125,,3.25,3.325,2.9,3.075,17.014999999999997,79.905,26.9,32.2,47.325,58.0,644.0,0.9099378881987578
Vancouver Canucks,2006-02-28,2,2,1,0.0,83.3,22.0,31.0,50.0,Calgary Flames,@,1.2,1.125,,3.35,3.325,2.8,3.1,16.18,80.905,26.85,31.7,47.410000000000004,56.0,634.0,0.9116719242902208
Vancouver Canucks,2006-03-02,0,1,3,9.1,85.7,42.0,20.0,41.5,Nashville Predators,@,1.3,1.175,1.2166666666666666,3.4,3.275,2.7,3.0,14.514999999999997,80.07,26.9,31.4,47.575,54.0,628.0,0.9140127388535032
Vancouver Canucks,2006-03-03,2,4,4,25.0,88.9,41.0,30.0,43.3,Chicago Blackhawks,@,1.2,1.125,1.1833333333333333,3.3,3.225,2.75,3.025,14.969999999999999,79.35499999999999,28.15,31.0,46.88,55.0,620.0,0.9112903225806451
Vancouver Canucks,2006-03-05,0,1,4,0.0,83.3,24.0,35.0,50.9,St. Louis Blues,vs,1.2,1.125,1.2,3.3,3.25,2.8,3.1,14.219999999999999,80.23,28.4,31.0,46.44,56.0,620.0,0.9096774193548387
Vancouver Canucks,2006-03-09,1,2,3,0.0,75.0,25.0,37.0,48.2,Nashville Predators,vs,1.1,1.075,1.1666666666666667,3.15,3.2,2.85,3.15,13.505,80.11,28.65,30.85,46.525,57.0,617.0,0.9076175040518638
Vancouver Canucks,2006-03-11,0,1,2,0.0,83.3,19.0,33.0,38.8,Dallas Stars,vs,1.15,1.1,1.1833333333333333,3.25,3.225,2.85,3.175,13.505,81.86,28.6,31.4,46.2,57.0,628.0,0.9092356687898089
Vancouver Canucks,2006-03-13,0,2,4,14.3,77.8,29.0,28.0,48.0,Dallas Stars,@,1.05,1.1,1.15,2.9,3.2,2.9,3.075,11.84,82.025,28.0,31.2,46.019999999999996,58.0,624.0,0.907051282051282
Vancouver Canucks,2006-03-14,0,0,5,0.0,100.0,31.0,27.0,45.3,Nashville Predators,@,0.95,1.05,1.1166666666666667,2.8,3.125,3.0,3.125,10.89,81.53999999999999,28.2,31.35,45.875,60.0,627.0,0.9043062200956937
Vancouver Canucks,2006-03-17,2,3,2,40.0,83.3,33.0,24.0,52.8,Columbus Blue Jackets,@,0.85,1.05,1.0833333333333333,2.6,3.05,3.2,3.125,10.055,82.255,28.4,31.45,45.155,64.0,629.0,0.8982511923688394
Vancouver Canucks,2006-03-19,0,3,7,100.0,90.9,24.0,37.0,50.7,Detroit Red Wings,vs,0.85,1.05,1.0833333333333333,2.45,3.0,3.2,3.125,10.625,81.42,28.65,31.35,45.239999999999995,64.0,627.0,0.89792663476874
Vancouver Canucks,2006-03-21,2,4,1,10.0,100.0,32.0,30.0,51.3,Edmonton Oilers,@,0.85,1.0,1.05,2.6,3.025,3.35,3.25,15.625,81.67999999999999,28.15,32.05,45.055,67.0,641.0,0.8954758190327613
Vancouver Canucks,2006-03-23,2,3,3,0.0,100.0,19.0,29.0,47.4,Edmonton Oilers,vs,0.95,1.0,1.05,2.55,3.05,3.1,3.225,14.459999999999999,83.9,28.1,31.4,45.045,62.0,628.0,0.9012738853503185
Vancouver Canucks,2006-03-25,0,2,3,0.0,80.0,25.0,29.0,54.9,Edmonton Oilers,vs,1.05,1.0,1.0833333333333333,2.65,3.0,3.15,3.2,14.459999999999999,85.565,28.3,31.1,45.605000000000004,63.0,622.0,0.8987138263665595
Vancouver Canucks,2006-03-27,2,7,4,28.6,66.7,32.0,38.0,54.7,Los Angeles Kings,vs,0.95,0.975,1.0666666666666667,2.6,2.95,3.15,3.15,14.459999999999999,85.28,28.0,30.4,45.644999999999996,63.0,608.0,0.8963815789473685
Vancouver Canucks,2006-03-29,2,2,1,20.0,100.0,31.0,21.0,48.9,Minnesota Wild,vs,0.95,1.0,1.0666666666666667,2.6,3.05,3.15,3.175,15.175,84.725,28.3,30.0,45.910000000000004,63.0,600.0,0.895
Vancouver Canucks,2006-03-31,1,1,1,0.0,75.0,29.0,20.0,54.2,Minnesota Wild,vs,0.95,1.05,1.0666666666666667,2.55,2.95,3.15,3.025,15.34,85.725,28.75,29.6,46.459999999999994,63.0,592.0,0.893581081081081
Vancouver Canucks,2006-04-02,0,2,6,20.0,60.0,29.0,30.0,43.6,Anaheim Ducks,@,1.0,1.05,1.0833333333333333,2.55,2.85,3.05,2.925,15.34,85.58500000000001,29.35,28.6,47.79,61.0,572.0,0.8933566433566433
Vancouver Canucks,2006-04-03,0,0,1,0.0,85.7,23.0,37.0,48.9,Los Angeles Kings,@,0.9,1.05,1.0833333333333333,2.3,2.875,3.15,3.025,14.065000000000001,84.69500000000001,28.9,28.45,48.010000000000005,63.0,569.0,0.8892794376098418
Vancouver Canucks,2006-04-08,2,3,2,28.6,83.3,27.0,24.0,49.2,Calgary Flames,vs,0.9,1.0,1.0833333333333333,2.2,2.775,3.0,2.975,13.35,84.69500000000001,28.4,29.1,48.205,60.0,582.0,0.8969072164948454
Vancouver Canucks,2006-04-10,0,2,4,28.6,80.0,41.0,18.0,63.8,Anaheim Ducks,vs,1.0,1.05,1.0833333333333333,2.3,2.775,2.95,2.925,14.779999999999998,85.11,28.35,28.8,48.629999999999995,59.0,576.0,0.8975694444444444
Vancouver Canucks,2006-04-12,1,4,5,50.0,80.0,24.0,27.0,41.8,San Jose Sharks,vs,0.9,1.05,1.05,2.25,2.8,3.05,2.925,16.21,84.11,28.9,28.9,49.32,61.0,578.0,0.8944636678200693
Vancouver Canucks,2006-04-13,0,3,5,50.0,66.7,20.0,28.0,48.3,San Jose Sharks,@,0.85,1.075,1.0666666666666667,2.35,2.875,3.25,2.975,18.71,83.94500000000001,29.0,28.7,48.91,65.0,574.0,0.8867595818815331
Vancouver Canucks,2006-04-15,2,4,3,0.0,100.0,30.0,34.0,60.7,Colorado Avalanche,vs,0.85,1.025,1.0333333333333334,2.45,2.875,3.35,3.05,20.755000000000003,82.995,27.9,29.1,49.25,67.0,582.0,0.8848797250859106
Vancouver Canucks,2006-10-05,2,3,1,50.0,100.0,17.0,28.0,48.0,Detroit Red Wings,@,0.85,1.025,1.0333333333333334,2.45,2.875,3.3,3.05,19.505000000000003,83.55,27.35,29.3,50.12,66.0,586.0,0.8873720136518771
Vancouver Canucks,2006-10-06,2,3,2,25.0,60.0,44.0,20.0,45.9,Columbus Blue Jackets,@,0.95,1.025,1.0333333333333334,2.55,2.85,3.15,3.0,22.005000000000003,84.385,27.0,28.95,49.975,63.0,579.0,0.8911917098445595
Vancouver Canucks,2006-10-08,0,2,3,0.0,62.5,28.0,35.0,52.5,Colorado Avalanche,@,1.0,1.075,1.0666666666666667,2.6,2.925,3.1,2.975,23.255000000000003,83.635,27.95,28.1,49.86,62.0,562.0,0.8896797153024911
Vancouver Canucks,2006-10-10,1,1,1,0.0,50.0,31.0,36.0,37.9,Minnesota Wild,@,1.0,1.025,1.0666666666666667,2.65,2.775,3.15,3.025,23.255000000000003,82.595,28.4,28.2,50.545,63.0,564.0,0.8882978723404256
Vancouver Canucks,2006-10-13,0,4,6,16.7,100.0,26.0,37.0,50.0,San Jose Sharks,vs,1.05,1.0,1.05,2.6,2.7,3.0,3.0,22.54,81.20500000000001,28.5,28.6,50.040000000000006,60.0,572.0,0.8951048951048951
Vancouver Canucks,2006-10-16,2,2,1,0.0,100.0,37.0,18.0,57.4,Edmonton Oilers,vs,1.05,0.95,1.05,2.8,2.7,3.05,3.125,23.375,81.20500000000001,28.25,29.1,50.275,61.0,582.0,0.8951890034364262
Vancouver Canucks,2006-10-17,0,1,2,16.7,100.0,22.0,20.0,42.3,Edmonton Oilers,@,1.05,0.95,1.05,2.75,2.6,3.0,3.1,21.375,82.03999999999999,28.45,28.8,50.505,60.0,576.0,0.8958333333333334
Vancouver Canucks,2006-10-20,2,3,2,18.2,77.8,39.0,19.0,46.8,St. Louis Blues,@,1.05,0.95,1.0166666666666666,2.65,2.625,2.75,3.05,17.21,82.495,28.35,27.95,50.084999999999994,55.0,559.0,0.9016100178890877
Vancouver Canucks,2006-10-21,2,4,3,0.0,100.0,46.0,40.0,47.3,Nashville Predators,@,1.05,1.0,1.0166666666666666,2.6,2.575,2.8,2.95,17.619999999999997,81.385,28.7,27.4,49.86,56.0,548.0,0.8978102189781022
Vancouver Canucks,2006-10-23,0,1,2,0.0,85.7,34.0,26.0,56.1,Dallas Stars,@,1.05,1.05,1.0166666666666666,2.65,2.65,2.8,2.975,17.619999999999997,81.385,30.05,27.95,49.855000000000004,56.0,559.0,0.8998211091234347
Vancouver Canucks,2006-10-25,2,5,0,20.0,100.0,31.0,32.0,52.4,Chicago Blackhawks,@,1.05,1.0,1.0,2.6,2.6,2.75,2.95,17.619999999999997,81.67,30.5,27.8,49.915000000000006,55.0,556.0,0.9010791366906474
Vancouver Canucks,2006-10-27,2,2,2,14.3,75.0,44.0,21.0,46.7,Washington Capitals,vs,1.05,1.0,1.0166666666666666,2.5,2.55,2.55,2.85,17.189999999999998,83.33500000000001,30.45,27.5,49.8,51.0,550.0,0.9072727272727272
Vancouver Canucks,2006-10-31,0,2,3,0.0,83.3,24.0,24.0,51.7,Nashville Predators,vs,1.05,1.0,1.05,2.5,2.525,2.6,2.875,16.904999999999998,82.08500000000001,31.1,27.5,49.690000000000005,52.0,550.0,0.9054545454545454
Vancouver Canucks,2006-11-02,0,2,5,0.0,25.0,30.0,24.0,60.0,Minnesota Wild,@,1.0,1.0,1.0333333333333334,2.55,2.55,2.7,2.875,16.904999999999998,82.5,30.85,27.7,49.565,54.0,554.0,0.9025270758122743
Vancouver Canucks,2006-11-04,0,2,3,33.3,100.0,38.0,20.0,53.0,Colorado Avalanche,@,1.0,0.95,1.0333333333333334,2.55,2.425,2.65,2.9,15.904999999999998,80.75,30.9,27.4,50.385,53.0,548.0,0.9032846715328468
Vancouver Canucks,2006-11-06,2,2,1,12.5,100.0,26.0,20.0,57.7,Dallas Stars,vs,1.0,0.95,1.0,2.65,2.425,2.75,2.875,17.57,81.465,31.65,26.55,50.589999999999996,55.0,531.0,0.896421845574388
Vancouver Canucks,2006-11-09,0,0,6,0.0,100.0,20.0,27.0,45.5,Anaheim Ducks,vs,1.0,1.0,1.0333333333333334,2.6,2.45,2.7,2.825,16.765,82.3,31.6,26.35,51.015,54.0,527.0,0.8975332068311196
Vancouver Canucks,2006-11-11,0,2,3,33.3,100.0,28.0,21.0,44.6,Calgary Flames,vs,1.0,0.95,1.0333333333333334,2.5,2.375,2.8,2.925,15.334999999999999,83.3,30.55,26.8,50.1,56.0,536.0,0.8955223880597015
Vancouver Canucks,2006-11-14,0,2,3,16.7,100.0,20.0,33.0,45.3,Detroit Red Wings,vs,0.95,0.9,1.0333333333333334,2.4,2.375,2.7,2.975,14.5,84.3,30.75,26.5,50.24,54.0,530.0,0.8981132075471698
Vancouver Canucks,2006-11-17,2,4,2,0.0,75.0,44.0,21.0,45.3,St. Louis Blues,vs,0.95,0.9,1.0,2.35,2.4,2.6,2.975,12.834999999999999,85.965,30.75,26.75,50.089999999999996,52.0,535.0,0.902803738317757
Vancouver Canucks,2006-11-19,2,2,1,20.0,100.0,39.0,23.0,57.4,Chicago Blackhawks,vs,0.95,0.9,1.0,2.35,2.4,2.55,2.925,12.834999999999999,84.715,31.45,26.1,49.32,51.0,522.0,0.9022988505747126
Vancouver Canucks,2006-11-22,2,4,3,16.7,83.3,30.0,30.0,45.6,Detroit Red Wings,@,0.95,0.95,1.0,2.3,2.425,2.55,2.85,11.334999999999999,84.715,32.55,25.85,49.790000000000006,51.0,517.0,0.9013539651837524
Vancouver Canucks,2006-11-23,0,0,6,0.0,75.0,34.0,28.0,50.8,Nashville Predators,@,0.95,0.975,1.0333333333333334,2.35,2.475,2.6,2.85,10.919999999999998,85.88,31.85,26.35,49.775,52.0,527.0,0.9013282732447818
Vancouver Canucks,2006-11-25,0,1,4,0.0,71.4,29.0,39.0,46.2,Colorado Avalanche,@,0.95,0.975,1.0,2.25,2.45,2.75,2.95,10.919999999999998,86.505,32.15,26.0,49.690000000000005,55.0,520.0,0.8942307692307693
Vancouver Canucks,2006-11-28,2,1,0,0.0,100.0,33.0,24.0,39.3,Columbus Blue Jackets,vs,0.9,0.975,0.9666666666666667,2.25,2.425,2.9,2.95,10.919999999999998,87.575,32.05,26.15,50.105,58.0,523.0,0.8891013384321224
Vancouver Canucks,2006-11-30,0,1,2,0.0,85.7,24.0,30.0,31.3,Anaheim Ducks,vs,1.0,1.025,0.9666666666666667,2.1,2.45,2.6,2.825,10.084999999999999,87.575,32.4,25.5,49.57,52.0,510.0,0.8980392156862745
Vancouver Canucks,2006-12-02,2,2,1,33.3,100.0,24.0,41.0,58.2,Colorado Avalanche,vs,0.9,0.975,0.9333333333333333,2.05,2.4,2.65,2.825,10.084999999999999,86.86,31.75,26.1,48.265,53.0,522.0,0.8984674329501916
Vancouver Canucks,2006-12-04,0,0,4,0.0,50.0,36.0,18.0,47.5,Edmonton Oilers,vs,1.0,1.025,0.9666666666666667,2.1,2.375,2.6,2.675,10.915000000000001,86.86,31.85,27.15,49.06,52.0,543.0,0.9042357274401474
Vancouver Canucks,2006-12-08,2,4,3,44.4,85.7,31.0,39.0,56.7,Carolina Hurricanes,vs,0.9,0.975,0.9666666666666667,1.95,2.275,2.7,2.75,10.004999999999999,85.47,31.7,27.1,49.095,54.0,542.0,0.9003690036900369
Vancouver Canucks,2006-12-09,0,3,5,40.0,71.4,29.0,38.0,52.8,Calgary Flames,@,0.9,0.975,1.0,1.95,2.3,2.7,2.75,12.225,84.755,30.95,27.05,49.565,54.0,541.0,0.9001848428835489
Vancouver Canucks,2006-12-12,2,5,2,33.3,100.0,31.0,30.0,46.2,Phoenix Coyotes,vs,0.9,0.975,0.9666666666666667,2.05,2.325,2.85,2.8,14.225,84.03999999999999,30.7,27.65,49.4,57.0,553.0,0.8969258589511754
Vancouver Canucks,2006-12-14,2,3,1,0.0,100.0,27.0,22.0,61.7,Calgary Flames,vs,0.9,0.975,0.9666666666666667,2.05,2.275,2.95,2.75,14.889999999999997,84.03999999999999,30.7,27.55,49.089999999999996,59.0,551.0,0.8929219600725953
Vancouver Canucks,2006-12-16,2,2,1,33.3,100.0,18.0,29.0,50.0,Minnesota Wild,vs,0.9,0.975,0.9666666666666667,2.1,2.3,2.9,2.75,14.175,85.28999999999999,29.85,27.6,49.839999999999996,58.0,552.0,0.894927536231884
Vancouver Canucks,2006-12-19,0,2,5,25.0,100.0,22.0,27.0,52.6,Minnesota Wild,@,1.0,1.0,1.0,2.1,2.325,2.8,2.75,15.839999999999998,86.125,29.55,27.85,49.755,56.0,557.0,0.8994614003590664
Vancouver Canucks,2006-12-21,0,0,2,0.0,66.7,39.0,19.0,46.2,Boston Bruins,@,1.0,1.0,0.9666666666666667,2.1,2.325,2.8,2.725,17.089999999999996,89.875,29.15,28.0,49.385000000000005,56.0,560.0,0.9
Vancouver Canucks,2006-12-22,0,2,3,20.0,83.3,33.0,22.0,60.0,Columbus Blue Jackets,@,1.0,1.0,0.9666666666666667,2.0,2.325,2.75,2.75,15.425,88.21000000000001,29.2,27.95,49.045,55.0,559.0,0.9016100178890877
Vancouver Canucks,2006-12-26,2,3,1,20.0,83.3,28.0,27.0,38.5,Calgary Flames,@,0.9,0.95,0.9666666666666667,2.0,2.3,2.85,2.775,15.8,87.375,29.55,28.05,49.16,57.0,561.0,0.8983957219251337
Vancouver Canucks,2006-12-27,2,6,5,25.0,83.3,24.0,36.0,54.1,Calgary Flames,vs,1.0,1.0,0.9666666666666667,2.15,2.325,2.6,2.7,16.8,86.53999999999999,29.95,28.05,48.809999999999995,52.0,561.0,0.9073083778966132
